epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.258,0.93452,2.38083,1.35759,0.00467,1,0.6643,0.39633,1.0124,2.9236,1.59138,0.000533333,0.000533333,0.000533333
2,19.1646,1.07349,1.60248,1.3111,0.36967,0.20972,0.28844,0.10331,1.28355,2.97868,1.84085,0.00119208,0.00119208,0.00119208
3,26.8943,1.30818,2.14918,1.58473,0.19859,0.07143,0.30441,0.12449,1.42604,3.08474,2.10368,0.00184203,0.00184203,0.00184203
4,36.0828,1.26804,1.82587,1.4752,0.27705,0.64329,0.30271,0.1544,1.65581,2.85173,2.96185,0.0019604,0.0019604,0.0019604
5,44.2939,1.19067,1.78555,1.47393,0.23597,0.64286,0.35115,0.15774,1.55369,4.73341,2.84141,0.0019472,0.0019472,0.0019472
6,52.0297,1.10764,1.6052,1.41123,0.32434,0.67857,0.41738,0.18693,1.56382,5.18145,2.93745,0.001934,0.001934,0.001934
7,60.0691,1.08709,1.5709,1.42166,0.28398,0.5,0.39105,0.19017,1.45454,7.65319,2.6885,0.0019208,0.0019208,0.0019208
8,67.9879,1.11891,1.46648,1.42789,0.2861,0.53571,0.326,0.18734,1.34612,7.7713,2.4827,0.0019076,0.0019076,0.0019076
9,75.8886,1.15215,1.56959,1.48175,0.24495,0.41726,0.35093,0.1623,1.80693,8.58013,2.92007,0.0018944,0.0018944,0.0018944
10,83.5228,1.07755,1.4352,1.40872,0.24088,0.36276,0.19856,0.08163,1.99339,7.9825,3.0945,0.0018812,0.0018812,0.0018812
11,91.4528,1.03278,1.31741,1.30104,0.15307,0.53571,0.13101,0.0603,1.81622,13.0367,2.67733,0.001868,0.001868,0.001868
12,99.3475,1.08468,1.35222,1.37098,0.04317,0.42857,0.03879,0.0165,1.69543,14.2927,2.6081,0.0018548,0.0018548,0.0018548
13,107.249,1.01774,1.30628,1.34803,0.0604,0.28571,0.04932,0.01891,1.8613,6.94019,3.42365,0.0018416,0.0018416,0.0018416
14,114.889,1.10035,1.34336,1.43329,0.10449,0.39286,0.07828,0.02705,1.98172,7.70306,3.10807,0.0018284,0.0018284,0.0018284
15,122.862,1.07795,1.31432,1.35063,0.2169,0.32143,0.1531,0.04958,2.01506,7.53928,3.04845,0.0018152,0.0018152,0.0018152
16,130.764,1.0172,1.2431,1.33314,0.10438,0.42857,0.0936,0.02693,2.06795,10.3597,2.97468,0.001802,0.001802,0.001802
17,136.686,1.06355,1.29102,1.35432,0.0982,0.17857,0.06801,0.01751,2.52372,10.9709,3.19681,0.0017888,0.0017888,0.0017888
18,142.244,1.00939,1.18674,1.32252,0.17726,0.21429,0.08953,0.02566,2.43856,7.08252,3.09669,0.0017756,0.0017756,0.0017756
19,147.836,1.05282,1.26582,1.37234,0.13409,0.5,0.13135,0.04625,1.93894,4.47967,2.51828,0.0017624,0.0017624,0.0017624
20,153.386,0.96325,1.1246,1.26444,0.15971,0.57143,0.13905,0.04794,1.98838,3.97784,2.37754,0.0017492,0.0017492,0.0017492
21,158.886,0.97637,1.16239,1.26478,0.22888,0.46429,0.16439,0.04968,2.04902,3.61934,2.44242,0.001736,0.001736,0.001736
22,164.429,1.0448,1.18841,1.33749,0.35995,0.53571,0.30214,0.12442,1.72382,2.62714,2.24392,0.0017228,0.0017228,0.0017228
23,169.961,1.09823,1.24843,1.40897,0.45042,0.67857,0.50495,0.21744,1.53386,2.19534,2.12106,0.0017096,0.0017096,0.0017096
24,175.466,1.00521,1.16732,1.30521,0.39733,0.68292,0.50805,0.25508,1.39736,2.1168,2.01704,0.0016964,0.0016964,0.0016964
25,180.988,0.95063,1.12122,1.26647,0.30728,0.67857,0.33546,0.17221,1.70185,2.66368,2.26265,0.0016832,0.0016832,0.0016832
26,186.464,0.98228,1.15402,1.30722,0.36008,0.66333,0.31112,0.14835,1.61429,2.69869,2.15419,0.00167,0.00167,0.00167
27,192.127,0.91979,1.0808,1.28615,0.3121,0.50236,0.26748,0.12415,1.53592,2.67425,2.12993,0.0016568,0.0016568,0.0016568
28,197.704,0.94763,1.03981,1.27965,0.2978,0.42857,0.27996,0.13922,1.51292,2.59289,2.14031,0.0016436,0.0016436,0.0016436
29,203.257,0.92094,1.03271,1.27025,0.52672,0.55674,0.48798,0.26386,1.47826,2.30126,2.04243,0.0016304,0.0016304,0.0016304
30,208.897,0.94591,1.07193,1.34099,0.4983,0.60714,0.46304,0.26027,1.54325,2.16568,2.00423,0.0016172,0.0016172,0.0016172
31,214.563,0.96052,1.10429,1.31013,0.38486,0.60714,0.39815,0.23708,1.56334,2.14237,2.05777,0.001604,0.001604,0.001604
32,220.214,0.9065,1.01029,1.21167,0.49009,0.5152,0.43616,0.17345,1.88671,2.18543,2.29506,0.0015908,0.0015908,0.0015908
33,225.891,0.92628,0.99706,1.28212,0.52712,0.71429,0.56126,0.21947,1.70515,1.97898,2.13276,0.0015776,0.0015776,0.0015776
34,231.533,0.87962,1.03677,1.23774,0.62703,0.57143,0.56053,0.33678,1.41345,1.92893,1.93342,0.0015644,0.0015644,0.0015644
35,237.186,0.93255,1.0058,1.21745,0.59357,0.46963,0.59249,0.37144,1.34213,1.84648,1.86753,0.0015512,0.0015512,0.0015512
36,242.836,0.92254,0.9786,1.27727,0.52651,0.75,0.64408,0.42814,1.24347,1.72294,1.81954,0.001538,0.001538,0.001538
37,248.512,0.84361,0.93229,1.19179,0.61271,0.73479,0.66339,0.42721,1.25974,1.81911,1.82561,0.0015248,0.0015248,0.0015248
38,254.197,0.83936,0.85531,1.19242,0.64605,0.78233,0.76777,0.47585,1.23492,1.63265,1.86586,0.0015116,0.0015116,0.0015116
39,259.873,0.82195,0.89413,1.20038,0.65066,0.79848,0.75016,0.46889,1.21473,1.60744,1.86772,0.0014984,0.0014984,0.0014984
40,265.883,0.80758,0.89203,1.2113,0.54767,0.82143,0.70796,0.4548,1.27243,1.72557,1.91367,0.0014852,0.0014852,0.0014852
41,271.544,0.8532,0.89977,1.19326,0.57015,0.78571,0.67485,0.40603,1.3294,1.75681,1.8747,0.001472,0.001472,0.001472
42,277.15,0.92664,0.93759,1.22391,0.58294,0.75,0.68805,0.42613,1.28951,1.7558,1.83937,0.0014588,0.0014588,0.0014588
43,282.828,0.83092,0.85442,1.1825,0.55148,0.82143,0.66694,0.42666,1.28681,1.7929,1.80455,0.0014456,0.0014456,0.0014456
44,288.421,0.83234,0.88581,1.19376,0.54891,0.82143,0.70889,0.44149,1.37156,1.8124,1.91331,0.0014324,0.0014324,0.0014324
45,294.07,0.88781,0.88237,1.24145,0.71938,0.64286,0.70623,0.43985,1.31624,1.90223,1.95939,0.0014192,0.0014192,0.0014192
46,300.06,0.78434,0.86288,1.17703,0.77324,0.60714,0.73724,0.47748,1.29155,1.60266,1.88875,0.001406,0.001406,0.001406
47,305.716,0.83746,0.83171,1.20998,0.62504,0.75,0.72413,0.46719,1.2628,1.57246,1.81565,0.0013928,0.0013928,0.0013928
48,311.315,0.89175,0.92156,1.26549,0.49074,0.85714,0.63151,0.40123,1.24694,1.74556,1.81911,0.0013796,0.0013796,0.0013796
49,316.935,0.81085,0.79514,1.17591,0.59282,0.75,0.67039,0.45367,1.19404,1.54598,1.7278,0.0013664,0.0013664,0.0013664
50,322.53,0.83065,0.81326,1.19893,0.60371,0.78571,0.7137,0.49656,1.13297,1.49533,1.6851,0.0013532,0.0013532,0.0013532
51,328.033,0.80307,0.79603,1.15104,0.54168,0.82143,0.66078,0.46905,1.138,1.49462,1.72944,0.00134,0.00134,0.00134
52,333.737,0.84656,0.80541,1.20206,0.60242,0.71429,0.61798,0.43644,1.23284,1.4895,1.85499,0.0013268,0.0013268,0.0013268
53,339.434,0.81533,0.82467,1.17725,0.45552,0.85714,0.54536,0.33206,1.3483,1.61679,1.928,0.0013136,0.0013136,0.0013136
54,345.065,0.78559,0.77938,1.1647,0.48156,0.85714,0.55972,0.31887,1.34003,1.65186,1.95565,0.0013004,0.0013004,0.0013004
55,350.702,0.79894,0.75347,1.14088,0.51185,0.74899,0.5744,0.33136,1.31074,1.66293,1.89193,0.0012872,0.0012872,0.0012872
56,356.602,0.78571,0.75914,1.15463,0.48997,0.67857,0.58564,0.33143,1.32841,1.64783,1.88469,0.001274,0.001274,0.001274
57,362.535,0.78307,0.76006,1.16866,0.57056,0.64286,0.58012,0.34001,1.32576,1.67033,1.83712,0.0012608,0.0012608,0.0012608
58,368.4,0.74391,0.77346,1.13666,0.59901,0.64286,0.56916,0.30926,1.37681,1.73862,1.86889,0.0012476,0.0012476,0.0012476
59,374.209,0.76758,0.72924,1.13553,0.68573,0.78571,0.62092,0.34331,1.4082,1.51304,1.88022,0.0012344,0.0012344,0.0012344
60,380.253,0.76754,0.76666,1.14726,0.74134,0.78571,0.6877,0.39,1.35412,1.49394,1.82606,0.0012212,0.0012212,0.0012212
61,386.236,0.74033,0.72834,1.12983,0.54882,0.75,0.66486,0.38221,1.40144,1.56227,2.02097,0.001208,0.001208,0.001208
62,392.211,0.76774,0.69765,1.11896,0.58888,0.66529,0.65245,0.3876,1.46233,1.55969,2.11802,0.0011948,0.0011948,0.0011948
63,398.153,0.79036,0.76323,1.17477,0.58843,0.66406,0.64356,0.38727,1.45593,1.58703,2.07636,0.0011816,0.0011816,0.0011816
64,404.413,0.7646,0.74942,1.13289,0.54792,0.6928,0.59968,0.36188,1.40159,1.72145,2.04699,0.0011684,0.0011684,0.0011684
65,410.237,0.68995,0.6564,1.08251,0.48823,0.82143,0.5602,0.31798,1.382,1.63775,1.94596,0.0011552,0.0011552,0.0011552
66,416.138,0.69787,0.64269,1.07172,0.55541,0.71387,0.55432,0.29604,1.42507,1.80832,1.98934,0.001142,0.001142,0.001142
67,422.646,0.76388,0.68881,1.14045,0.49574,0.75,0.54416,0.28034,1.41934,1.82974,2.03209,0.0011288,0.0011288,0.0011288
68,428.471,0.76061,0.72627,1.16344,0.56573,0.82143,0.56708,0.31069,1.37861,1.81217,1.98192,0.0011156,0.0011156,0.0011156
69,434.652,0.75355,0.70106,1.13872,0.57478,0.75,0.59824,0.3618,1.29989,1.55772,1.98113,0.0011024,0.0011024,0.0011024
70,440.849,0.73403,0.69944,1.16266,0.547,0.82143,0.65338,0.37508,1.37308,1.56527,2.09333,0.0010892,0.0010892,0.0010892
71,447.416,0.72794,0.66285,1.10297,0.52396,0.74695,0.67851,0.43064,1.40687,1.50701,2.14768,0.001076,0.001076,0.001076
72,454.083,0.67703,0.62969,1.12452,0.58391,0.85213,0.70853,0.41806,1.39032,1.46607,2.08304,0.0010628,0.0010628,0.0010628
73,461.401,0.69897,0.63767,1.07932,0.61779,0.78571,0.63966,0.36804,1.30175,1.47917,1.93199,0.0010496,0.0010496,0.0010496
74,468.598,0.66445,0.64567,1.06395,0.60521,0.78571,0.63679,0.36596,1.32291,1.49902,1.93061,0.0010364,0.0010364,0.0010364
75,475.415,0.64026,0.64428,1.0697,0.59253,0.75,0.6475,0.37903,1.29478,1.50243,1.93035,0.0010232,0.0010232,0.0010232
76,481.928,0.71349,0.66724,1.12123,0.59068,0.71429,0.67034,0.39184,1.29175,1.49791,1.91857,0.00101,0.00101,0.00101
77,487.762,0.65923,0.60402,1.06274,0.56288,0.75,0.59166,0.37076,1.29881,1.59129,1.85087,0.0009968,0.0009968,0.0009968
78,493.572,0.66896,0.63444,1.10154,0.58033,0.75,0.58868,0.37407,1.32197,1.58118,1.86983,0.0009836,0.0009836,0.0009836
79,499.501,0.69696,0.62995,1.11762,0.61203,0.85714,0.62926,0.38388,1.3444,1.59314,1.88216,0.0009704,0.0009704,0.0009704
80,505.747,0.71191,0.62663,1.09025,0.5377,0.83094,0.59939,0.36284,1.38142,1.59292,1.94323,0.0009572,0.0009572,0.0009572
81,511.724,0.64495,0.61389,1.06992,0.50177,0.85714,0.59998,0.37267,1.4294,1.57984,2.0587,0.000944,0.000944,0.000944
82,518.311,0.70367,0.64492,1.11476,0.48927,0.88962,0.61477,0.35945,1.37003,1.54026,1.98882,0.0009308,0.0009308,0.0009308
83,525.499,0.65251,0.57152,1.0757,0.50892,0.89286,0.5858,0.31661,1.40998,1.66709,2.02299,0.0009176,0.0009176,0.0009176
84,532.431,0.65255,0.59947,1.08402,0.48875,0.88778,0.5523,0.29693,1.4526,1.74359,2.04089,0.0009044,0.0009044,0.0009044
85,539.607,0.71441,0.6279,1.14074,0.51859,0.78571,0.55996,0.32066,1.33825,1.69433,1.9316,0.0008912,0.0008912,0.0008912
86,546.709,0.69985,0.62725,1.10123,0.54095,0.6735,0.53749,0.3324,1.2712,1.6556,1.87693,0.000878,0.000878,0.000878
87,553.66,0.60132,0.55327,1.03372,0.55275,0.67857,0.6015,0.37729,1.25175,1.6812,1.85733,0.0008648,0.0008648,0.0008648
88,560.167,0.64929,0.57368,1.08738,0.54226,0.67857,0.62395,0.41043,1.24991,1.69804,1.84104,0.0008516,0.0008516,0.0008516
89,566.783,0.6907,0.61866,1.12157,0.60222,0.78571,0.5825,0.35349,1.30116,1.59221,1.95521,0.0008384,0.0008384,0.0008384
90,573.449,0.62773,0.55286,1.07061,0.60769,0.71429,0.56852,0.3497,1.32778,1.61325,1.99164,0.0008252,0.0008252,0.0008252
91,579.83,0.63682,0.58249,1.06408,0.57621,0.78571,0.57814,0.34942,1.3235,1.52796,1.99331,0.000812,0.000812,0.000812
92,586.386,0.6013,0.57953,1.03966,0.60194,0.78571,0.60238,0.34827,1.33859,1.51209,1.99937,0.0007988,0.0007988,0.0007988
93,593.118,0.65295,0.57306,1.0847,0.6581,0.67857,0.60775,0.3921,1.3751,1.34323,2.05013,0.0007856,0.0007856,0.0007856
94,600.152,0.63761,0.5596,1.07284,0.63322,0.71429,0.60745,0.39061,1.39548,1.3725,2.04416,0.0007724,0.0007724,0.0007724
95,606.693,0.54582,0.53698,1.03347,0.62159,0.71429,0.62926,0.39013,1.39289,1.33861,2.02021,0.0007592,0.0007592,0.0007592
96,613.386,0.6049,0.5664,1.0344,0.60001,0.71429,0.64091,0.41823,1.3325,1.38789,1.96859,0.000746,0.000746,0.000746
97,620.501,0.63342,0.55315,1.10026,0.55975,0.82143,0.6234,0.39896,1.25882,1.43416,1.86353,0.0007328,0.0007328,0.0007328
98,628.318,0.6155,0.54511,1.05924,0.53467,0.82143,0.61577,0.39453,1.24243,1.41941,1.8253,0.0007196,0.0007196,0.0007196
