epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,635.477,0.5899,0.51552,1.04272,0.59357,0.75,0.63094,0.40127,1.26858,1.45507,1.83791,0.0007064,0.0007064,0.0007064
100,641.914,0.60621,0.53182,1.05839,0.63556,0.74747,0.60999,0.39777,1.29341,1.48659,1.87222,0.0006932,0.0006932,0.0006932
101,647.945,0.60881,0.59058,1.03949,0.56883,0.70692,0.63021,0.412,1.27129,1.52226,1.79619,0.00068,0.00068,0.00068
102,654.339,0.59271,0.51868,1.02143,0.52177,0.77944,0.62255,0.40183,1.27111,1.62357,1.77742,0.0006668,0.0006668,0.0006668
103,660.761,0.5825,0.49508,1.02197,0.53487,0.73943,0.59485,0.37987,1.29065,1.67784,1.78291,0.0006536,0.0006536,0.0006536
104,667.165,0.55801,0.50431,1.02212,0.5161,0.7239,0.60138,0.37966,1.32867,1.7125,1.80938,0.0006404,0.0006404,0.0006404
105,673.598,0.59768,0.51887,1.05384,0.573,0.57522,0.59556,0.37958,1.31389,1.66939,1.85594,0.0006272,0.0006272,0.0006272
106,680.164,0.56677,0.52178,1.00326,0.52038,0.67857,0.61606,0.38511,1.31691,1.57457,1.90543,0.000614,0.000614,0.000614
107,686.617,0.54441,0.50182,0.98939,0.58597,0.7078,0.64067,0.3808,1.36973,1.55676,1.96276,0.0006008,0.0006008,0.0006008
108,693.006,0.61006,0.53795,1.05463,0.56487,0.82143,0.6504,0.38246,1.35617,1.48769,2.01166,0.0005876,0.0005876,0.0005876
109,699.424,0.54761,0.51038,1.00069,0.64854,0.71429,0.66596,0.41142,1.33319,1.43242,1.94062,0.0005744,0.0005744,0.0005744
110,706.091,0.55174,0.4872,1.00384,0.61359,0.75,0.6531,0.40157,1.29948,1.37487,1.90694,0.0005612,0.0005612,0.0005612
111,712.675,0.55904,0.48788,1.00524,0.58932,0.75,0.62958,0.40036,1.23782,1.34087,1.85187,0.000548,0.000548,0.000548
112,719.212,0.54807,0.52432,1.01587,0.63501,0.71429,0.6361,0.41468,1.24622,1.3711,1.83524,0.0005348,0.0005348,0.0005348
113,726.031,0.54003,0.50398,1.00493,0.61515,0.78571,0.67297,0.4439,1.22722,1.37278,1.82227,0.0005216,0.0005216,0.0005216
114,733.573,0.54043,0.50058,1.00327,0.6387,0.78571,0.68628,0.45555,1.25541,1.32778,1.8727,0.0005084,0.0005084,0.0005084
115,740.514,0.57337,0.55676,1.07081,0.62846,0.78571,0.69151,0.45645,1.26017,1.28744,1.87259,0.0004952,0.0004952,0.0004952
116,747.3,0.55685,0.48515,0.98677,0.64576,0.75,0.6717,0.43034,1.26981,1.29676,1.89034,0.000482,0.000482,0.000482
117,754.065,0.55048,0.49151,1.00756,0.6234,0.78571,0.65694,0.42976,1.21739,1.38061,1.83408,0.0004688,0.0004688,0.0004688
118,760.892,0.49559,0.45583,0.98567,0.64671,0.78456,0.6566,0.40867,1.21981,1.3778,1.84655,0.0004556,0.0004556,0.0004556
119,767.643,0.55924,0.49562,1.02702,0.60575,0.78571,0.64564,0.41651,1.24162,1.39089,1.87234,0.0004424,0.0004424,0.0004424
120,774.635,0.55787,0.49229,1.02334,0.60714,0.78571,0.63422,0.40316,1.23326,1.41153,1.85491,0.0004292,0.0004292,0.0004292
121,781.383,0.57078,0.52487,1.0189,0.65811,0.78571,0.64989,0.42211,1.28275,1.41673,1.86181,0.000416,0.000416,0.000416
122,788.092,0.52971,0.469,0.98105,0.62819,0.82143,0.6784,0.42735,1.29292,1.38896,1.87148,0.0004028,0.0004028,0.0004028
123,794.777,0.52736,0.47279,1.01666,0.62662,0.85714,0.69892,0.44487,1.29911,1.35605,1.87448,0.0003896,0.0003896,0.0003896
124,801.365,0.53167,0.47083,1.0237,0.61996,0.82143,0.7086,0.45243,1.2951,1.37031,1.87093,0.0003764,0.0003764,0.0003764
125,808.01,0.51665,0.46605,0.98819,0.62433,0.71429,0.69742,0.46111,1.2846,1.43143,1.87235,0.0003632,0.0003632,0.0003632
126,814.672,0.48824,0.44981,1.00112,0.63764,0.71429,0.70421,0.47657,1.26165,1.45554,1.85624,0.00035,0.00035,0.00035
127,821.246,0.51378,0.44911,0.98219,0.52689,0.89286,0.70927,0.47951,1.24809,1.49962,1.83932,0.0003368,0.0003368,0.0003368
128,827.957,0.53447,0.47853,1.05266,0.5218,0.89286,0.70746,0.47241,1.25256,1.51902,1.84277,0.0003236,0.0003236,0.0003236
129,834.587,0.48295,0.44129,0.97349,0.54145,0.84362,0.69381,0.47767,1.27059,1.56369,1.83997,0.0003104,0.0003104,0.0003104
130,841.382,0.5375,0.43435,1.02426,0.54764,0.82143,0.68367,0.45659,1.3006,1.55931,1.89311,0.0002972,0.0002972,0.0002972
131,848.046,0.52137,0.43854,0.98788,0.54154,0.78571,0.67742,0.44366,1.31814,1.53166,1.95736,0.000284,0.000284,0.000284
132,854.675,0.45749,0.41377,0.94827,0.52898,0.80238,0.67057,0.41886,1.31853,1.51111,2.00055,0.0002708,0.0002708,0.0002708
133,861.341,0.45778,0.42946,0.97545,0.53857,0.82143,0.6512,0.3949,1.35094,1.4648,2.07358,0.0002576,0.0002576,0.0002576
134,867.988,0.47781,0.42013,1.00371,0.63101,0.67857,0.65626,0.39208,1.36744,1.4455,2.10299,0.0002444,0.0002444,0.0002444
135,874.57,0.48021,0.41267,0.98165,0.63081,0.67857,0.65605,0.39479,1.37138,1.46872,2.10986,0.0002312,0.0002312,0.0002312
136,881.198,0.53348,0.4859,1.01506,0.63188,0.67857,0.66088,0.39475,1.36148,1.47025,2.10537,0.000218,0.000218,0.000218
137,887.806,0.48173,0.43973,0.98278,0.55864,0.78571,0.65423,0.39247,1.32405,1.47149,2.04603,0.0002048,0.0002048,0.0002048
138,894.418,0.50697,0.42209,0.99965,0.56263,0.78111,0.66026,0.40846,1.3235,1.44931,2.05168,0.0001916,0.0001916,0.0001916
139,900.359,0.49131,0.4425,1.0061,0.61436,0.64286,0.65139,0.40494,1.33816,1.42754,2.07937,0.0001784,0.0001784,0.0001784
140,906.76,0.5029,0.43758,0.99009,0.53416,0.78571,0.64058,0.40593,1.3738,1.39143,2.15822,0.0001652,0.0001652,0.0001652
141,930.24,0.40415,0.47043,0.90542,0.5528,0.75052,0.6359,0.39472,1.4002,1.38627,2.19271,0.000152,0.000152,0.000152
142,936.595,0.3579,0.38988,0.87737,0.5768,0.78571,0.65218,0.3977,1.40554,1.39671,2.19657,0.0001388,0.0001388,0.0001388
143,942.343,0.35831,0.42418,0.89436,0.58439,0.75,0.65336,0.40253,1.4207,1.44616,2.20323,0.0001256,0.0001256,0.0001256
144,948.714,0.36563,0.39817,0.89342,0.55577,0.71429,0.6318,0.38727,1.44253,1.50668,2.19323,0.0001124,0.0001124,0.0001124
145,955.214,0.37163,0.38881,0.9133,0.58027,0.71429,0.61953,0.37383,1.4797,1.55645,2.19749,9.92e-05,9.92e-05,9.92e-05
146,961.574,0.36163,0.37219,0.89287,0.58209,0.71429,0.61917,0.37619,1.49918,1.57667,2.20672,8.6e-05,8.6e-05,8.6e-05
147,967.293,0.33459,0.35815,0.86652,0.58698,0.71069,0.61473,0.38166,1.49828,1.57975,2.19435,7.28e-05,7.28e-05,7.28e-05
148,973.652,0.35631,0.39582,0.91174,0.57789,0.71429,0.61471,0.37959,1.48589,1.5746,2.2024,5.96e-05,5.96e-05,5.96e-05
149,979.989,0.34692,0.35957,0.87263,0.57442,0.71429,0.62062,0.38945,1.4589,1.56809,2.17548,4.64e-05,4.64e-05,4.64e-05
150,986.348,0.32387,0.36487,0.8663,0.5762,0.71429,0.62671,0.39493,1.45345,1.56378,2.18226,3.32e-05,3.32e-05,3.32e-05
